                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77815,                 1.0569,                 1.1727,                0.59649,                0.48227,                0.56949,                0.40903,                0.87064,                 24.578,                 1.7126,             0.00066158,             0.00066158,             0.00066158
                      2,                0.85656,                 0.7258,                 1.1893,                0.00135,                0.15603,                0.00083,                0.00021,                 4.9989,                 16.069,                 8.2053,              0.0013019,              0.0013019,              0.0013019
                      3,                0.81196,                 0.6737,                 1.1527,                0.55555,                0.87234,                 0.7286,                 0.4749,                 1.0344,                 1.9945,                 1.7551,              0.0019159,              0.0019159,              0.0019159
                      4,                0.75652,                0.61414,                 1.1207,                0.88512,                0.84397,                0.90507,                0.73734,                0.79009,                0.78846,                 1.2766,              0.0018812,              0.0018812,              0.0018812
                      5,                0.71752,                0.57469,                 1.0885,                0.88742,                0.96454,                0.93204,                0.84203,                0.50969,                0.58657,                 1.0453,              0.0018416,              0.0018416,              0.0018416
                      6,                0.70597,                 0.5423,                 1.0906,                0.86442,                      1,                0.93892,                0.85645,                0.50034,                0.54824,                 1.0642,               0.001802,               0.001802,               0.001802
                      7,                0.65989,                0.50338,                 1.0563,                0.88107,                      1,                0.92694,                0.85348,                0.41844,                0.47347,                0.94399,              0.0017624,              0.0017624,              0.0017624
                      8,                0.62862,                0.47825,                 1.0439,                 0.8976,                      1,                0.91332,                0.84988,                0.40004,                0.40847,                0.94953,              0.0017228,              0.0017228,              0.0017228
                      9,                0.63822,                0.48688,                 1.0467,                0.89951,                      1,                0.93197,                0.87118,                0.39012,                0.42532,                0.94046,              0.0016832,              0.0016832,              0.0016832
                     10,                0.61519,                0.47071,                 1.0336,                0.90313,                      1,                0.92079,                0.84937,                0.42675,                0.40859,                0.95239,              0.0016436,              0.0016436,              0.0016436
                     11,                0.61061,                0.45727,                 1.0395,                0.89735,                      1,                0.94531,                 0.8845,                0.43752,                0.40626,                0.93709,               0.001604,               0.001604,               0.001604
                     12,                 0.6009,                0.44042,                 1.0316,                0.90298,                      1,                0.93722,                0.86747,                0.40672,                0.39768,                0.92268,              0.0015644,              0.0015644,              0.0015644
                     13,                0.60865,                 0.4449,                 1.0327,                0.90027,                      1,                0.95083,                0.90428,                0.36534,                0.37155,                  0.901,              0.0015248,              0.0015248,              0.0015248
                     14,                0.59008,                0.43561,                  1.019,                0.90324,                      1,                0.93336,                0.86775,                0.38011,                0.37676,                0.91346,              0.0014852,              0.0014852,              0.0014852
                     15,                0.59783,                0.43647,                 1.0262,                0.89157,                      1,                0.94924,                0.89906,                0.36215,                0.37981,                  0.892,              0.0014456,              0.0014456,              0.0014456
                     16,                0.57754,                0.42052,                 1.0128,                0.90119,                      1,                0.92214,                0.87135,                0.35568,                0.37623,                0.89937,               0.001406,               0.001406,               0.001406
                     17,                0.58831,                0.43428,                 1.0173,                0.90322,                      1,                0.94877,                0.90051,                0.35136,                0.36974,                0.89093,              0.0013664,              0.0013664,              0.0013664
                     18,                 0.5865,                0.41806,                 1.0166,                0.90333,                      1,                0.92844,                0.89123,                0.32158,                0.34985,                 0.8806,              0.0013268,              0.0013268,              0.0013268
